timestamp,user_computer,severity,rule,permission,keyword,file_size,modified,extension,unc,content
2025-09-27 12:18:37Z,[CASTELBLACK\vagrant@castelblack],Red,KeepPassOrKeyInCode,R,passw?o?r?d?>\s*[^\s<]+\s*<,2475,2025-04-03 12:14:23Z,.xml,\\winterfell.north.sevenkingdoms.local\ADMIN$\Panther\unattend.xml,e</HideWirelessSetupInOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipUserOOBE>true</SkipUserOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipMachineOOBE>true</SkipMachineOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </OOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ <AutoLogon>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Password>\*SENSITIVE\*DATA\*DELETED\*</Password>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Enabled>true</Enabled>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <LogonCount>1</LogonCount>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Username>vagrant</Username>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </AutoLogon
2025-09-27 12:18:44Z,[CASTELBLACK\vagrant@castelblack],Red,KeepPassOrKeyInCode,R,passw?o?r?d?>\s*[^\s<]+\s*<,2475,2025-04-03 12:31:12Z,.xml,\\castelblack.north.sevenkingdoms.local\ADMIN$\Panther\unattend.xml,e</HideWirelessSetupInOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipUserOOBE>true</SkipUserOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipMachineOOBE>true</SkipMachineOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </OOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ <AutoLogon>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Password>\*SENSITIVE\*DATA\*DELETED\*</Password>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Enabled>true</Enabled>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <LogonCount>1</LogonCount>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Username>vagrant</Username>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </AutoLogon
2025-09-27 12:18:44Z,[CASTELBLACK\vagrant@castelblack],Yellow,KeepDeployImageByExtension,R,^\.wim$,30451920,2021-05-12 04:51:38Z,.wim,\\winterfell.north.sevenkingdoms.local\ADMIN$\Containers\serviced\WindowsDefenderApplicationGuard.wim,.wim
2025-09-27 12:18:45Z,[CASTELBLACK\vagrant@castelblack],Red,RelayCertByExtension,R,,1367,2024-08-19 23:13:18Z,.pem,\\winterfell.north.sevenkingdoms.local\C$\Program Files (x86)\ossec-agent\wpk_root.pem,
2025-09-27 12:18:45Z,[CASTELBLACK\vagrant@castelblack],Yellow,KeepDeployImageByExtension,R,^\.wim$,416039501,2019-09-07 00:10:18Z,.wim,\\winterfell.north.sevenkingdoms.local\C$\Recovery\WindowsRE\Winre.wim,.wim
2025-09-27 12:18:47Z,[CASTELBLACK\vagrant@castelblack],Red,KeepPassOrKeyInCode,R,passw?o?r?d?>\s*[^\s<]+\s*<,2475,2025-04-03 12:14:23Z,.xml,\\winterfell.north.sevenkingdoms.local\C$\Windows\Panther\unattend.xml,e</HideWirelessSetupInOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipUserOOBE>true</SkipUserOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipMachineOOBE>true</SkipMachineOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </OOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ <AutoLogon>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Password>\*SENSITIVE\*DATA\*DELETED\*</Password>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Enabled>true</Enabled>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <LogonCount>1</LogonCount>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Username>vagrant</Username>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </AutoLogon
2025-09-27 12:18:47Z,[CASTELBLACK\vagrant@castelblack],Yellow,KeepDeployImageByExtension,R,^\.wim$,28669726,2025-07-10 01:06:00Z,.wim,\\castelblack.north.sevenkingdoms.local\ADMIN$\Containers\serviced\WindowsDefenderApplicationGuard.wim,.wim
2025-09-27 12:18:48Z,[CASTELBLACK\vagrant@castelblack],Red,RelayCertByExtension,R,,1367,2024-08-19 23:13:18Z,.pem,\\castelblack.north.sevenkingdoms.local\C$\Program Files (x86)\ossec-agent\wpk_root.pem,
2025-09-27 12:18:48Z,[CASTELBLACK\vagrant@castelblack],Red,KeepPassOrKeyInCode,R,"passw?o?r?d\s*=\s*[\'\""][^\'\""]....",1253,2025-04-03 23:36:55Z,.ini,\\castelblack.north.sevenkingdoms.local\C$\setup\mssql\sql_conf.ini,"ATRIXCMBRICKCOMMPORT=""0""\r\nSQLSVCSTARTUPTYPE=""Automatic""\r\nFILESTREAMLEVEL=""0""\r\nENABLERANU=""False""\r\nSQLCOLLATION=""SQL_Latin1_General_CP1_CI_AS""\r\nSQLSVCACCOUNT=""north\.sevenkingdoms\.local\\sql_svc""\r\nSQLSVCPASSWORD=""YouWillNotKerboroast1ngMeeeeee""\r\nSAPWD=""Sup1_sa_P@ssw0rd!""\r\nSQLSYSADMINACCOUNTS=""north\.sevenkingdoms\.local\\sql_svc""\r\nADDCURRENTUSERASSQLADMIN=""True""\r\nTCPENABLED=""1""\r\nNPENABLED=""0""\r\nBROWSERSV"
2025-09-27 12:18:55Z,[CASTELBLACK\vagrant@castelblack],Red,KeepPassOrKeyInCode,R,passw?o?r?d?>\s*[^\s<]+\s*<,2475,2025-04-03 12:31:12Z,.xml,\\castelblack.north.sevenkingdoms.local\C$\Windows\Panther\unattend.xml,e</HideWirelessSetupInOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipUserOOBE>true</SkipUserOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <SkipMachineOOBE>true</SkipMachineOOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </OOBE>\r\n\ \ \ \ \ \ \ \ \ \ \ \ <AutoLogon>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Password>\*SENSITIVE\*DATA\*DELETED\*</Password>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Enabled>true</Enabled>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <LogonCount>1</LogonCount>\r\n\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ <Username>vagrant</Username>\r\n\ \ \ \ \ \ \ \ \ \ \ \ </AutoLogon
